title,type,location,area_of_apt,no_of_bedrooms,no_of_bathrooms,Amenities,price,link
Apartment for sale 134m in Maqsed Special View,Apartment,"Al Maqsad, New Capital Compounds, New Capital City, Cairo",134,3,2,"['Study', 'Balcony', 'Shared Spa', 'Security', 'Walk-in Closet', 'View of Landmark', 'Shared Gym', ""Children's Pool""]",1940575,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-al-maqsad-7495075.html
Apartment for sale 149m in Maqsed Special View,Apartment,"Al Maqsad, New Capital Compounds, New Capital City, Cairo",149,3,2,"['Study', 'Balcony', 'Security', 'Covered Parking', 'View of Landmark', 'Lobby in Building']",2376397,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-al-maqsad-7495071.html
Apartment for sale 158m in Maqsed Special View,Apartment,"Al Maqsad, New Capital Compounds, New Capital City, Cairo",158,3,2,"['Study', 'Balcony', 'Shared Spa', 'Security', 'Covered Parking', 'Walk-in Closet', 'View of Landmark', 'Shared Gym', 'Lobby in Building', ""Children's Pool""]",2005176,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-al-maqsad-7495068.html
163m Apartment in el maqsed fully finished ,Apartment,"Al Maqsad, New Capital Compounds, New Capital City, Cairo",163,3,3,"['Balcony', 'Security', 'Covered Parking', 'View of Landmark', 'Shared Gym', 'Lobby in Building']",2414971,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-al-maqsad-7495038.html
opportunity fully finished villa in La Vista,Villa,"La Vista City, New Capital Compounds, New Capital City, Cairo",305,3,3,"['Maids Room', 'Central A/C', 'Balcony', 'Private Garden', 'Private Pool', 'Shared Spa', 'Security', 'Covered Parking', 'Built in Wardrobes', 'Walk-in Closet']",14000000,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-cairo-new-capital-city-new-capital-compounds-la-vista-city-7495026.html
dp 5% own villa at lavista lowest price inst 8y,Townhouse,"La Vista City, New Capital Compounds, New Capital City, Cairo",180,4,4,"['Study', 'Balcony', 'Shared Pool', 'Shared Spa', 'Security', 'Built in Wardrobes', 'Walk-in Closet', 'View of Water', 'View of Landmark', 'Shared Gym']",20000000,https://www.propertyfinder.eg/en/plp/buy/townhouse-for-sale-cairo-new-capital-city-new-capital-compounds-la-vista-city-7494877.html
Opportunity own finished villa RTM large compound,Villa,"La Vista City, New Capital Compounds, New Capital City, Cairo",210,3,3,"['Maids Room', 'Study', 'Central A/C', 'Balcony', 'Private Garden', 'Private Pool', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking']",41000000,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-cairo-new-capital-city-new-capital-compounds-la-vista-city-7494858.html
dp 5% own villa at lavista lowest prive inst 8y,Villa,"La Vista City, New Capital Compounds, New Capital City, Cairo",180,4,4,"['Study', 'Balcony', 'Shared Pool', 'Shared Spa', 'Security', 'Built in Wardrobes', 'Walk-in Closet', 'View of Water', 'View of Landmark', 'Shared Gym']",20000000,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-cairo-new-capital-city-new-capital-compounds-la-vista-city-7494836.html
lowest price with lowest dp at lavista inst 10y,Villa,"La Vista City, New Capital Compounds, New Capital City, Cairo",230,4,4,"['Study', 'Balcony', 'Shared Pool', 'Shared Spa', 'Security', 'Built in Wardrobes', 'Walk-in Closet', 'View of Water', 'View of Landmark', 'Shared Gym']",29000000,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-cairo-new-capital-city-new-capital-compounds-la-vista-city-7494727.html
Standalone Prime Location - 5% DP Over 8 Years,Villa,"La Vista City, New Capital Compounds, New Capital City, Cairo",218,3,4,"['Maids Room', 'Study', 'Central A/C', 'Balcony', 'Private Garden', 'Private Pool', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking']",25993819,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-cairo-new-capital-city-new-capital-compounds-la-vista-city-7494715.html
Twin house for sale | La vista city,Twin House,"La Vista City, New Capital Compounds, New Capital City, Cairo",280,4,4,"['Balcony', 'Private Garden', 'Security']",23575000,https://www.propertyfinder.eg/en/plp/buy/twin-house-for-sale-cairo-new-capital-city-new-capital-compounds-la-vista-city-7494693.html
Apartment for sale 151m in Maqsed Special View,Apartment,"Al Maqsad, New Capital Compounds, New Capital City, Cairo",151,3,2,"['Study', 'Balcony', 'Shared Spa', 'Security', 'Walk-in Closet', 'View of Landmark', 'Shared Gym', 'Lobby in Building']",3174834,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-al-maqsad-7494630.html
Apartment for sale 111m in Maqsed Special View,Apartment,"Al Maqsad, New Capital Compounds, New Capital City, Cairo",111,2,2,"['Study', 'Balcony', 'Shared Spa', 'Security', 'Walk-in Closet', 'View of Landmark', 'Shared Gym', 'Lobby in Building']",1644251,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-al-maqsad-7494626.html
شقة للبيع بمساحة 134م في المقصد بإطلالة مميزة,Apartment,"Al Maqsad, New Capital Compounds, New Capital City, Cairo",134,3,2,"['Study', 'Balcony', 'Shared Spa', 'Security', 'Walk-in Closet', 'View of Landmark', 'Shared Gym', 'Lobby in Building', ""Children's Pool""]",1925123,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-al-maqsad-7494620.html
"Townhouse w/ Garden Corner, Phase 1, La Vista City",Townhouse,"La Vista City, New Capital Compounds, New Capital City, Cairo",230,4,4,"['Balcony', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking', 'Walk-in Closet', 'View of Water', 'View of Landmark', 'Shared Gym', 'Lobby in Building']",16000000,https://www.propertyfinder.eg/en/plp/buy/townhouse-for-sale-cairo-new-capital-city-new-capital-compounds-la-vista-city-7494606.html
Apartment in Al Maqsed fully finished lowest price,Apartment,"Al Maqsad, New Capital Compounds, New Capital City, Cairo",149,3,2,"['Balcony', 'Security', 'Covered Parking', 'View of Landmark', 'Shared Gym', 'Lobby in Building']",6109000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-al-maqsad-7494598.html
dp 1.450m own villa  lakes view inst 8y,Villa,"La Vista City, New Capital Compounds, New Capital City, Cairo",220,4,4,"['Study', 'Balcony', 'Shared Pool', 'Shared Spa', 'Security', 'Built in Wardrobes', 'Walk-in Closet', 'View of Water', 'View of Landmark', 'Shared Gym']",29000000,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-cairo-new-capital-city-new-capital-compounds-la-vista-city-7494594.html
"Townhouse for sale, RTM la vista city fullyfinihed",Townhouse,"La Vista City, New Capital Compounds, New Capital City, Cairo",200,3,4,"['Balcony', 'Private Pool', 'Shared Pool', 'Security', 'Covered Parking', 'Walk-in Closet', 'Shared Gym', 'Lobby in Building', ""Children's Pool""]",28000000,https://www.propertyfinder.eg/en/plp/buy/townhouse-for-sale-cairo-new-capital-city-new-capital-compounds-la-vista-city-7494586.html
VILLA READY TO MOVE In installments OVER 8 YEARS,Townhouse,"La Vista City, New Capital Compounds, New Capital City, Cairo",205,3,3,"['Balcony', 'Private Garden', 'Private Pool', 'Shared Spa', 'Security', 'Covered Parking', 'Walk-in Closet', 'Shared Gym', 'Lobby in Building', ""Children's Pool""]",28600000,https://www.propertyfinder.eg/en/plp/buy/townhouse-for-sale-cairo-new-capital-city-new-capital-compounds-la-vista-city-7494584.html
Townhouse (Corner) Fully finished ready to move,Townhouse,"La Vista City, New Capital Compounds, New Capital City, Cairo",195,3,3,"['Balcony', 'Private Garden', 'Shared Spa', 'Security', 'Covered Parking', 'Shared Gym', 'Lobby in Building', ""Children's Pool""]",9975000,https://www.propertyfinder.eg/en/plp/buy/townhouse-for-sale-cairo-new-capital-city-new-capital-compounds-la-vista-city-7494582.html
villa ready to move fully finished lavista city,Villa,"La Vista City, New Capital Compounds, New Capital City, Cairo",300,5,4,"['Maids Room', 'Balcony', 'Private Garden', 'Private Pool', 'Security', 'Covered Parking', 'Walk-in Closet', 'Shared Gym', ""Children's Pool""]",26000000,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-cairo-new-capital-city-new-capital-compounds-la-vista-city-7494580.html
SuperLux Twin Ready for delivery | long install.,Twin House,"La Vista City, New Capital Compounds, New Capital City, Cairo",200,3,3,"['Maids Room', 'Study', 'Central A/C', 'Balcony', 'Private Garden', 'Private Pool', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking']",6500000,https://www.propertyfinder.eg/en/plp/buy/twin-house-for-sale-cairo-new-capital-city-new-capital-compounds-la-vista-city-7494561.html
Finished town for sale in a prime locat in LV CITY,Townhouse,"La Vista City, New Capital Compounds, New Capital City, Cairo",270,4,4,"['Central A/C', 'Balcony', 'Private Garden', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking', 'Walk-in Closet', 'View of Water', 'Shared Gym']",32000000,https://www.propertyfinder.eg/en/plp/buy/townhouse-for-sale-cairo-new-capital-city-new-capital-compounds-la-vista-city-7494548.html
Twin house for sale | La vista city,Twin House,"La Vista City, New Capital Compounds, New Capital City, Cairo",280,4,4,"['Balcony', 'Private Garden', 'Security', 'Covered Parking']",21550000,https://www.propertyfinder.eg/en/plp/buy/twin-house-for-sale-cairo-new-capital-city-new-capital-compounds-la-vista-city-7494527.html
Apartment for sale 111m in Maqsed Special View,Apartment,"Al Maqsad, New Capital Compounds, New Capital City, Cairo",111,2,2,"['Study', 'Balcony', 'Shared Spa', 'Security', 'Walk-in Closet', 'View of Water', 'View of Landmark', 'Shared Gym', 'Lobby in Building', ""Children's Pool""]",2000000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-al-maqsad-7494479.html
"Ready to move and finished limited time + DP 1,7M",Twin House,"La Vista City, New Capital Compounds, New Capital City, Cairo",195,3,3,"['Maids Room', 'Study', 'Central A/C', 'Balcony', 'Private Garden', 'Private Pool', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking']",34000000,https://www.propertyfinder.eg/en/plp/buy/twin-house-for-sale-cairo-new-capital-city-new-capital-compounds-la-vista-city-7494325.html
apartment for sale in entrada new capital ,Apartment,"Entrada, New Capital Compounds, New Capital City, Cairo",113,2,2,"['Study', 'Balcony', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking', 'Built in Wardrobes', 'View of Water', 'Shared Gym']",2412000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-entrada-7493978.html
Twin Ready to move at less than company price,Townhouse,"La Vista City, New Capital Compounds, New Capital City, Cairo",275,4,4,"['Maids Room', 'Central A/C', 'Balcony', 'Private Garden', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking', 'Walk-in Closet', 'View of Water']",32500000,https://www.propertyfinder.eg/en/plp/buy/townhouse-for-sale-cairo-new-capital-city-new-capital-compounds-la-vista-city-7493864.html
Ground Apartment with Private Garden,Apartment,"Moraya, New Capital Compounds, New Capital City, Cairo",174,3,3,"['Study', 'Private Garden', 'Shared Pool', 'Shared Spa', 'Security', 'Walk-in Closet', 'View of Water', 'View of Landmark', 'Shared Gym']",9325000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-moraya-7493860.html
"VILLA FULLY FINIDHED READY TO MOVE D.P1,445,000",Townhouse,"La Vista City, New Capital Compounds, New Capital City, Cairo",230,3,3,"['Balcony', 'Private Garden', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking', 'Walk-in Closet', 'Shared Gym', 'Lobby in Building', ""Children's Pool""]",28800000,https://www.propertyfinder.eg/en/plp/buy/townhouse-for-sale-cairo-new-capital-city-new-capital-compounds-la-vista-city-7493818.html
Receive finished town install. limited time offer,Townhouse,"La Vista City, New Capital Compounds, New Capital City, Cairo",182,3,3,"['Maids Room', 'Study', 'Central A/C', 'Balcony', 'Private Garden', 'Private Pool', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking']",4660000,https://www.propertyfinder.eg/en/plp/buy/townhouse-for-sale-cairo-new-capital-city-new-capital-compounds-la-vista-city-7493804.html
RTM twin house finished in la vista city area 280m,Villa,"La Vista City, New Capital Compounds, New Capital City, Cairo",280,4,4,"['Study', 'Balcony', 'Private Garden', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking', 'Walk-in Closet', 'Shared Gym', 'Lobby in Building']",33000000,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-cairo-new-capital-city-new-capital-compounds-la-vista-city-7493737.html
RTM villa finished in la vista city with area320 m,Villa,"La Vista City, New Capital Compounds, New Capital City, Cairo",320,4,4,"['Maids Room', 'Study', 'Balcony', 'Private Garden', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking', 'Walk-in Closet', 'Shared Gym']",14000000,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-cairo-new-capital-city-new-capital-compounds-la-vista-city-7493701.html
"Finished villas Ready to move first time | DP 1,4M",Townhouse,"La Vista City, New Capital Compounds, New Capital City, Cairo",180,3,3,"['Maids Room', 'Study', 'Central A/C', 'Balcony', 'Private Garden', 'Private Pool', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking']",28000000,https://www.propertyfinder.eg/en/plp/buy/townhouse-for-sale-cairo-new-capital-city-new-capital-compounds-la-vista-city-7493618.html
"Apartment for sale in Oia,45%dis,Prime location R7",Apartment,"Oia, New Capital Compounds, New Capital City, Cairo",165,3,3,"['Study', 'Balcony', 'Shared Pool', 'Security', 'Covered Parking', 'Walk-in Closet', 'View of Landmark', 'Shared Gym', 'Lobby in Building', ""Children's Pool""]",5775000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-oia-7493502.html
Townhouse in el maqsed fully finished lowest price,Townhouse,"Al Maqsad, New Capital Compounds, New Capital City, Cairo",382,3,4,"['Study', 'Balcony', 'Shared Spa', 'Security', 'Covered Parking', 'Built in Wardrobes', 'Walk-in Closet', 'View of Landmark', 'Lobby in Building']",17937000,https://www.propertyfinder.eg/en/plp/buy/townhouse-for-sale-cairo-new-capital-city-new-capital-compounds-al-maqsad-7493462.html
Townhouse in el maqsed fully finished lowest price,Townhouse,"Al Maqsad, New Capital Compounds, New Capital City, Cairo",382,4,4,"['Study', 'Balcony', 'Security', 'Covered Parking', 'View of Landmark', 'Lobby in Building']",17937000,https://www.propertyfinder.eg/en/plp/buy/townhouse-for-sale-cairo-new-capital-city-new-capital-compounds-al-maqsad-7493459.html
Townhouse in el maqsed fully finished lowest price,Townhouse,"Al Maqsad, New Capital Compounds, New Capital City, Cairo",387,3,4,"['Study', 'Balcony', 'Security', 'Covered Parking', 'Built in Wardrobes', 'Walk-in Closet', 'View of Landmark', 'Shared Gym', 'Lobby in Building']",16334400,https://www.propertyfinder.eg/en/plp/buy/townhouse-for-sale-cairo-new-capital-city-new-capital-compounds-al-maqsad-7493457.html
Apartment for sale 171m in Maqsed Special View,Apartment,"Al Maqsad, New Capital Compounds, New Capital City, Cairo",171,3,3,"['Study', 'Balcony', 'Security', 'Covered Parking', 'Walk-in Closet', 'View of Landmark', 'Lobby in Building']",4544746,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-al-maqsad-7493452.html
Townhouse for sale 426m in Maqsed Special View,Townhouse,"Al Maqsad, New Capital Compounds, New Capital City, Cairo",426,4,5,"['Study', 'Balcony', 'Shared Spa', 'Security', 'Covered Parking', 'Built in Wardrobes', 'Walk-in Closet', 'View of Landmark', 'Shared Gym', 'Lobby in Building']",10425475,https://www.propertyfinder.eg/en/plp/buy/townhouse-for-sale-cairo-new-capital-city-new-capital-compounds-al-maqsad-7493448.html
la vista city townhouse for sale with largest land,Townhouse,"La Vista City, New Capital Compounds, New Capital City, Cairo",230,4,4,"['Study', 'Balcony', 'Private Garden', 'Shared Spa', 'Security', 'Covered Parking', 'View of Water', 'Shared Gym']",10800000,https://www.propertyfinder.eg/en/plp/buy/townhouse-for-sale-cairo-new-capital-city-new-capital-compounds-la-vista-city-7493336.html
Ground Apartment with Open View at Moraya,Apartment,"Moraya, New Capital Compounds, New Capital City, Cairo",183,3,3,"['Study', 'Balcony', 'Shared Pool', 'Shared Spa', 'Security', 'Walk-in Closet', 'View of Water', 'View of Landmark', 'Shared Gym']",8216000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-moraya-7493266.html
Townhouse for sale 425m in Maqsed Special View,Townhouse,"Al Maqsad, New Capital Compounds, New Capital City, Cairo",387,4,4,"['Study', 'Balcony', 'Shared Spa', 'Security', 'Covered Parking', 'Built in Wardrobes', 'Walk-in Closet', 'View of Landmark', 'Shared Gym', 'Lobby in Building']",20756250,https://www.propertyfinder.eg/en/plp/buy/townhouse-for-sale-cairo-new-capital-city-new-capital-compounds-al-maqsad-7493186.html
Townhouse for sale 395m in Maqsed Special View,Townhouse,"Al Maqsad, New Capital Compounds, New Capital City, Cairo",395,4,4,"['Study', 'Balcony', 'Security', 'Covered Parking', 'Walk-in Closet', 'View of Landmark', 'Lobby in Building']",23144049,https://www.propertyfinder.eg/en/plp/buy/townhouse-for-sale-cairo-new-capital-city-new-capital-compounds-al-maqsad-7493184.html
Townhouse for sale ٥١٢m in Maqsed Special View,Townhouse,"Al Maqsad, New Capital Compounds, New Capital City, Cairo",512,4,5,"['Study', 'Balcony', 'Shared Spa', 'Security', 'Covered Parking', 'Built in Wardrobes', 'Walk-in Closet', 'View of Landmark', 'Shared Gym', 'Lobby in Building']",27824483,https://www.propertyfinder.eg/en/plp/buy/townhouse-for-sale-cairo-new-capital-city-new-capital-compounds-al-maqsad-7493182.html
Townhouse for sale 412m in Maqsed Special View,Townhouse,"Al Maqsad, New Capital Compounds, New Capital City, Cairo",412,4,4,"['Study', 'Balcony', 'Shared Spa', 'Security', 'Covered Parking', 'Walk-in Closet', 'View of Landmark', 'Shared Gym', 'Lobby in Building']",15356344,https://www.propertyfinder.eg/en/plp/buy/townhouse-for-sale-cairo-new-capital-city-new-capital-compounds-al-maqsad-7493179.html
Readytomove twinhouse for sale ilbosco new capital,Twin House,"IL Bosco, New Capital Compounds, New Capital City, Cairo",247,3,4,"['Maids Room', 'Study', 'Central A/C', 'Balcony', 'Private Garden', 'Private Pool', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking']",14500000,https://www.propertyfinder.eg/en/plp/buy/twin-house-for-sale-cairo-new-capital-city-new-capital-compounds-il-bosco-7493123.html
launch finished villa ready to move | Dp + install,Twin House,"La Vista City, New Capital Compounds, New Capital City, Cairo",198,3,3,"['Maids Room', 'Study', 'Central A/C', 'Balcony', 'Private Garden', 'Private Pool', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking']",5660000,https://www.propertyfinder.eg/en/plp/buy/twin-house-for-sale-cairo-new-capital-city-new-capital-compounds-la-vista-city-7493047.html
شقة للبيع بميني كومباوند 165م استلام فوري,Apartment,"Capital Gardens Compound, New Capital Compounds, New Capital City, Cairo",165,3,2,"['Balcony', 'Security']",5320000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-capital-gardens-compound-7493041.html
"Limited finished units Ready to move with 1,4M DP",Townhouse,"La Vista City, New Capital Compounds, New Capital City, Cairo",186,3,3,"['Maids Room', 'Study', 'Central A/C', 'Balcony', 'Private Garden', 'Private Pool', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking']",28000000,https://www.propertyfinder.eg/en/plp/buy/townhouse-for-sale-cairo-new-capital-city-new-capital-compounds-la-vista-city-7492959.html
Readytomove apartment for sale ILbosco new capital,Apartment,"IL Bosco, New Capital Compounds, New Capital City, Cairo",114,2,2,"['Maids Room', 'Study', 'Central A/C', 'Balcony', 'Private Garden', 'Private Pool', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking']",4300000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-il-bosco-7492922.html
Apartment for sale 134m in Maqsed Special View,Apartment,"Al Maqsad, New Capital Compounds, New Capital City, Cairo",134,3,2,"['Study', 'Balcony', 'Shared Spa', 'Security', 'Walk-in Closet', 'View of Landmark', 'Shared Gym', 'Lobby in Building']",1671113,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-al-maqsad-7492846.html
Apartment for sale 131m in Maqsed Special View,Apartment,"Al Maqsad, New Capital Compounds, New Capital City, Cairo",131,3,2,"['Study', 'Balcony', 'Security', 'Walk-in Closet', 'View of Landmark', 'Shared Gym', 'Lobby in Building', ""Children's Pool""]",2127848,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-al-maqsad-7492845.html
Apartment for sale 122m in Maqsed Special View,Apartment,"Al Maqsad, New Capital Compounds, New Capital City, Cairo",122,3,2,"['Study', 'Balcony', 'Shared Spa', 'Security', 'Walk-in Closet', 'View of Landmark', 'Shared Gym', 'Lobby in Building', ""Children's Pool""]",1845085,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-al-maqsad-7492841.html
Apartment for sale 155m in Maqsed Special View,Apartment,"Al Maqsad, New Capital Compounds, New Capital City, Cairo",155,3,2,"['Study', 'Balcony', 'Shared Spa', 'Security', 'Walk-in Closet', 'View of Landmark', 'Shared Gym', 'Lobby in Building']",2111114,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-al-maqsad-7492839.html
Apartment for sale 119m in Maqsed Special View,Apartment,"Al Maqsad, New Capital Compounds, New Capital City, Cairo",119,3,2,"['Study', 'Balcony', 'Shared Spa', 'Security', 'Covered Parking', 'Walk-in Closet', 'View of Landmark', 'Shared Gym', 'Lobby in Building']",1960692,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-al-maqsad-7492838.html
launch Finished Villa Ready for first time DP 5%,Twin House,"La Vista City, New Capital Compounds, New Capital City, Cairo",205,3,3,"['Maids Room', 'Study', 'Central A/C', 'Balcony', 'Private Garden', 'Private Pool', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking']",34000000,https://www.propertyfinder.eg/en/plp/buy/twin-house-for-sale-cairo-new-capital-city-new-capital-compounds-la-vista-city-7492654.html
standalone at Celia New Capital for Quick sale    ,Villa,"Celia, New Capital Compounds, New Capital City, Cairo",294,4,5,"['Study', 'Balcony', 'Security', 'Covered Parking', 'Walk-in Closet', 'View of Water', 'View of Landmark']",26200000,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-cairo-new-capital-city-new-capital-compounds-celia-7492543.html
Launch Villas Phase Finished RTM with installments,Townhouse,"La Vista City, New Capital Compounds, New Capital City, Cairo",191,3,3,"['Maids Room', 'Study', 'Central A/C', 'Balcony', 'Private Garden', 'Private Pool', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking']",32000000,https://www.propertyfinder.eg/en/plp/buy/townhouse-for-sale-cairo-new-capital-city-new-capital-compounds-la-vista-city-7492522.html
Apartment for sale 187m in Maqsed Special View,Apartment,"Al Maqsad, New Capital Compounds, New Capital City, Cairo",187,3,3,"['Study', 'Balcony', 'Security', 'Covered Parking', 'View of Landmark', 'Shared Gym', 'Lobby in Building']",4330510,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-al-maqsad-7492478.html
Apartment for sale 154m in Maqsed Special View,Apartment,"Al Maqsad, New Capital Compounds, New Capital City, Cairo",154,3,2,"['Study', 'Balcony', 'Shared Spa', 'Security', 'Covered Parking', 'Walk-in Closet', 'View of Landmark', 'Shared Gym', 'Lobby in Building']",2612500,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-al-maqsad-7492471.html
Apartment for sale 121m in Maqsed Special View,Apartment,"Al Maqsad, New Capital Compounds, New Capital City, Cairo",121,3,2,"['Balcony', 'Security', 'Covered Parking', 'View of Landmark', 'Shared Gym', 'Lobby in Building']",4920000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-al-maqsad-7492469.html
Apartment for sale 150m in Maqsed Special View,Apartment,"Al Maqsad, New Capital Compounds, New Capital City, Cairo",150,3,2,"['Study', 'Balcony', 'Security', 'Covered Parking', 'View of Landmark', 'Shared Gym', 'Lobby in Building']",4118307,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-al-maqsad-7492468.html
Apartment for sale 123m in Maqsed Special View,Apartment,"Al Maqsad, New Capital Compounds, New Capital City, Cairo",123,3,2,"['Study', 'Balcony', 'Shared Spa', 'Security', 'Covered Parking', 'Walk-in Closet', 'View of Landmark', 'Shared Gym', 'Lobby in Building']",3850000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-al-maqsad-7492456.html
"Limited time offer finished villa Ready + DP 1,4M",Townhouse,"La Vista City, New Capital Compounds, New Capital City, Cairo",186,3,3,"['Maids Room', 'Study', 'Central A/C', 'Balcony', 'Private Garden', 'Private Pool', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking']",28000000,https://www.propertyfinder.eg/en/plp/buy/townhouse-for-sale-cairo-new-capital-city-new-capital-compounds-la-vista-city-7492387.html
"Prime Location, Lowest Price – New Capital",Apartment,"Entrada, New Capital Compounds, New Capital City, Cairo",91,1,1,"['Balcony', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking', 'Walk-in Closet', 'View of Water', 'Shared Gym', ""Children's Pool""]",4726000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-entrada-7492348.html
Apartment for sale 189m in Maqsed Special View,Apartment,"Al Maqsad, New Capital Compounds, New Capital City, Cairo",189,3,3,"['Study', 'Balcony', 'Shared Spa', 'Security', 'Walk-in Closet', 'View of Landmark', 'Shared Gym', 'Lobby in Building']",6102008,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-al-maqsad-7492222.html
Apartment for sale 188m in Maqsed Special View,Apartment,"Al Maqsad, New Capital Compounds, New Capital City, Cairo",188,3,3,"['Study', 'Balcony', 'Shared Spa', 'Security', 'Walk-in Closet', 'View of Landmark', 'Shared Gym', 'Lobby in Building']",6157278,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-al-maqsad-7492219.html
Apartment for sale 153m in Maqsed Special View,Apartment,"Al Maqsad, New Capital Compounds, New Capital City, Cairo",153,3,2,"['Study', 'Balcony', 'Security', 'Walk-in Closet', 'View of Landmark', 'Shared Gym', 'Lobby in Building']",7175000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-al-maqsad-7492218.html
Apartment for sale 163m in Maqsed Special View,Apartment,"Al Maqsad, New Capital Compounds, New Capital City, Cairo",163,3,3,"['Study', 'Balcony', 'Security', 'Covered Parking', 'View of Landmark', 'Lobby in Building']",8678710,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-al-maqsad-7492216.html
