title,type,location,area_of_apt,no_of_bedrooms,no_of_bathrooms,Amenities,price,link
شقه 121ماستلام فوري متشطبه بالكامل سوبر لوكس 3 غرف,Apartment,"Al Maqsad, New Capital Compounds, New Capital City, Cairo",121,3,2,"['Study', 'Balcony', 'Private Garden', 'Shared Spa', 'Security', 'Covered Parking', 'Built in Wardrobes', 'Walk-in Closet', 'View of Landmark', 'Shared Gym']",3939000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-al-maqsad-7577760.html
شقه 174 م استلام فوري متشطبه بالكامل كامله المرافق,Apartment,"Al Maqsad, New Capital Compounds, New Capital City, Cairo",174,3,2,"['Study', 'Balcony', 'Private Garden', 'Shared Spa', 'Security', 'Covered Parking', 'Built in Wardrobes', 'Walk-in Closet', 'View of Landmark', 'Lobby in Building']",4686000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-al-maqsad-7577681.html
شقة استلام فوري في المقصد بارك في العاصمه الادارية,Apartment,"Al Maqsad, New Capital Compounds, New Capital City, Cairo",121,3,2,"['Maids Room', 'Study', 'Central A/C', 'Balcony', 'Shared Spa', 'Security', 'Covered Parking', 'Built in Wardrobes', 'Walk-in Closet', 'Kitchen Appliances']",2939000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-al-maqsad-7577649.html
شقة استلام فوري لقطة في كمبوند المقصد,Apartment,"Al Maqsad, New Capital Compounds, New Capital City, Cairo",121,3,2,"['Maids Room', 'Study', 'Central A/C', 'Balcony', 'Shared Spa', 'Security', 'Walk-in Closet', 'View of Landmark', 'Shared Gym', 'Lobby in Building']",4042000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-al-maqsad-7577586.html
شقة استلام فوري في كمبوند المقصد بارك بالعاصمه,Apartment,"Al Maqsad, New Capital Compounds, New Capital City, Cairo",121,3,2,"['Maids Room', 'Study', 'Central A/C', 'Balcony', 'Shared Spa', 'Security', 'Walk-in Closet', 'View of Landmark', 'Shared Gym', 'Lobby in Building']",3930000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-al-maqsad-7577566.html
شقة استلام فوري في المقصد بارك في العاصمه الادارية,Apartment,"Al Maqsad, New Capital Compounds, New Capital City, Cairo",121,3,2,"['Maids Room', 'Study', 'Central A/C', 'Balcony', 'Shared Spa', 'Security', 'Covered Parking', 'Built in Wardrobes', 'Walk-in Closet', 'Kitchen Appliances']",4800000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-al-maqsad-7577553.html
شقة استلام فوري في كمبوند المقصد بارك بالعاصمه,Apartment,"Al Maqsad, New Capital Compounds, New Capital City, Cairo",135,3,3,"['Maids Room', 'Study', 'Central A/C', 'Balcony', 'Shared Spa', 'Security', 'Walk-in Closet', 'View of Landmark', 'Shared Gym', 'Lobby in Building']",4513000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-al-maqsad-7577542.html
شقة استلام فوري في المقصد بارك في العاصمه الادارية,Apartment,"Al Maqsad, New Capital Compounds, New Capital City, Cairo",121,3,2,"['Maids Room', 'Study', 'Central A/C', 'Balcony', 'Shared Spa', 'Security', 'Covered Parking', 'Built in Wardrobes', 'Walk-in Closet', 'Kitchen Appliances']",3930000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-al-maqsad-7577533.html
شقة استلام فوري في المقصد بارك في العاصمه الادارية,Apartment,"Al Maqsad, New Capital Compounds, New Capital City, Cairo",121,3,2,"['Maids Room', 'Study', 'Central A/C', 'Balcony', 'Shared Spa', 'Security', 'Covered Parking', 'Built in Wardrobes', 'Walk-in Closet', 'Kitchen Appliances']",4042000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-al-maqsad-7577507.html
Apartment for sale in R3 opposite the iconic tower,Apartment,"R3, New Capital City, Cairo",122,3,2,"['Balcony', 'Security']",2650000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-r3-7577467.html
"Apartment for sale in R3 the capital ,New Cairo",Apartment,"R3, New Capital City, Cairo",170,3,3,"['Balcony', 'Security']",3518320,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-r3-7577135.html
Apartment for sale in Lumia New Capital with a low,Apartment,"Lumia Residence, R7, New Capital City, Cairo",196,3,3,"['Maids Room', 'Study', 'Central A/C', 'Balcony', 'Shared Spa', 'Security', 'Covered Parking', 'Built in Wardrobes', 'Kitchen Appliances', 'View of Landmark']",8452216,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-r7-lumia-residence-7576758.html
under market price villa la vista good location !,Villa,"La Vista City, New Capital Compounds, New Capital City, Cairo",300,4,5,"['Maids Room', 'Study', 'Central A/C', 'Balcony', 'Private Garden', 'Private Pool', 'Shared Pool', 'Shared Spa', 'Security', 'Walk-in Closet']",23500000,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-cairo-new-capital-city-new-capital-compounds-la-vista-city-7576652.html
